COMPARISON,N,PEARSON,PEARSON_P,SPEARMAN,SPEARMAN_P
"same franchise, adjacent seasons",240,0.7559195486430497,1.1113444639074646e-45,0.5338295803746592,4.422431191481175e-19
mover relative-to-team persistence,664,0.46192256919764363,2.1085639247091433e-36,0.4359978750780347,3.4749706825948685e-32
mover change vs team-environment change,664,0.7852755895140291,5.795786054630982e-140,0.7590330910680352,1.6757345487796888e-125
