S,N,V_BALL,SD,SE,N_HANDOVERS,SHARE,EXCESS_VS_BEST
6.0,2197,0.4524351388256714,1.1084785582178915,0.023648972067497057,2226,0.02531328890809434,0.12414883462746079
7.0,2079,0.49975949975949974,1.152840964983348,0.02528378889766165,2107,0.023960062771498102,0.17147319556128915
8.0,1999,0.4752376188094047,1.2327943514546575,0.027573013836635133,2030,0.02308444585958289,0.1469513146111941
9.0,1899,0.4570826750921538,1.2532890843649813,0.02875999291945177,1907,0.021685733130159885,0.1287963708939432
10.0,1799,0.42690383546414673,1.3028884344897744,0.030717908843131723,1815,0.020639541495144305,0.09861753126593614
11.0,1736,0.5086405529953917,1.3845317546582663,0.033229825483228066,1749,0.019889012713502695,0.1803542487971811
12.0,1609,0.4599129894344313,1.3955473764751396,0.03479097201844138,1618,0.018399326798426163,0.13162668523622073
13.0,1550,0.432258064516129,1.3740157805684972,0.03490003572649301,1559,0.01772839955423139,0.10397176031791844
14.0,1582,0.45448798988621997,1.409335266007535,0.03543325746415638,1597,0.018160522186085652,0.12620168568800938
15.0,1567,0.4658583280153159,1.3891394610479633,0.035092260951829705,1574,0.017898974277331756,0.13757202381710532
16.0,1457,0.515442690459849,1.4926335922928675,0.03910420270347166,1476,0.01678455275307603,0.18715638626163844
17.0,1597,0.48966812773951157,1.469207653939121,0.03676467440224554,1612,0.018331096909186016,0.16138182354130098
18.0,1596,0.40977443609022557,1.5110891085295441,0.037824537973121145,1610,0.018308353612772634,0.08148813189201498
19.0,1569,0.5493945188017846,1.5896712864535987,0.04013246707224311,1586,0.01803543405581205,0.221108214603574
20.0,1680,0.4511904761904762,1.5450352039503412,0.03769499920607975,1694,0.019263572062134686,0.12290417199226561
21.0,1684,0.4477434679334917,1.52624133462374,0.03719222560955709,1698,0.01930905865496145,0.11945716373528109
22.0,1801,0.569683509161577,1.5690592934763723,0.03697281341677228,1816,0.020650913143350998,0.24139720496336636
23.0,1970,0.5243654822335025,1.600426945457514,0.036058091932046725,1991,0.022640951579521937,0.19607917803529196
24.0,2104,0.5256653992395437,1.6519004557657053,0.03601314132083142,2121,0.024119265846391777,0.1973790950413331
25.0,2280,0.45394736842105265,1.6490140223849017,0.03453479840518627,2299,0.026143419227182788,0.12566106422284207
26.0,2464,0.474025974025974,1.6793674812149082,0.03383182203501086,2481,0.028213059200800562,0.14573966982776343
27.0,2681,0.45318910854158895,1.71433543465338,0.03310910147847185,2694,0.030635220268825765,0.12490280434337836
28.0,2906,0.3282863041982106,1.7529728735157992,0.03251826685168271,2930,0.03331892924560486,0.0
29.0,2864,0.37011173184357543,1.772976166306004,0.033129615132747495,2886,0.032818576724510454,0.04182542764536484
30.0,3142,0.4213876511775939,1.8367020149104765,0.03276691934020965,3152,0.03584343514749028,0.09310134697938333
31.0,3144,0.38040712468193383,1.896211964709304,0.0338178204407032,3158,0.03591166503673043,0.05212082048372324
32.0,3012,0.37782204515272244,1.8706101950163694,0.03408441254472466,3023,0.03437649252882713,0.04953574095451185
33.0,2887,0.370973328714929,1.9033915425243582,0.03542458272672245,2895,0.03292092155837067,0.04268702451671841
34.0,2731,0.4793116074697913,1.9190180931124783,0.03672131452171217,2738,0.03113557278992017,0.1510253032715807
35.0,2557,0.4517012123582323,1.9300446672896632,0.03816822784246146,2571,0.02923650753940276,0.12341490816002171
36.0,2476,0.4640549273021002,2.038002675281984,0.040957121794743104,2490,0.028315404034660784,0.1357686231038896
37.0,2310,0.4645021645021645,2.0619035276711584,0.04290049978731248,2318,0.02635948054310992,0.13621586030395394
38.0,2333,0.501071581654522,2.1100965446039868,0.04368626912880301,2343,0.026643771748277194,0.17278527745631145
39.0,2301,0.529335071707953,2.122474958387611,0.0442470443525232,2306,0.026223020764629627,0.20104876750974243
40.0,2217,0.38836265223274696,2.1336884130245597,0.045315643573629466,2235,0.02541563374195456,0.060076348034536375
41.0,2342,0.4487617421007686,2.1571485332620255,0.04457451276357801,2351,0.026734744933930722,0.12047543790255799
42.0,2289,0.5718654434250765,2.1304104440713516,0.04452873792979147,2293,0.02607518933794264,0.24357913922686592
43.0,2293,0.49280418665503706,2.2213005078939454,0.046387961553052665,2296,0.026109304282562716,0.16451788245682647
44.0,2308,0.5173310225303293,2.227454764679801,0.0463650775876819,2314,0.026313993950283155,0.18904471833211867
45.0,2375,0.4105263157894737,2.282376054863699,0.04683336847215346,2379,0.027053151083718075,0.0822400115912631
