GC_BIN,N,CLOCK_USED,NET_REST,PTS_OWN,PTS_OPP,START_SC
24,2694,14.207869339272458,0.5289532293986637,0.9086859688195991,0.37973273942093544,23.311061618411284
25,2940,14.782312925170068,0.42551020408163265,0.861904761904762,0.43639455782312925,23.42448979591837
26,3147,14.620273276136002,0.4502700985065141,0.9253257070225611,0.47505560851604706,23.241817604067364
27,3410,14.596774193548388,0.45073313782991203,0.980058651026393,0.5293255131964809,23.35982404692082
28,3633,14.294522433250757,0.3531516652903936,0.9622901183594825,0.6091384530690889,23.383980181668043
29,3626,13.72972972972973,0.3987865416436845,1.0341974627688912,0.6354109211252068,23.374793160507448
30,3932,13.343845371312309,0.45651068158697866,1.1169888097660223,0.6604781281790437,23.345371312309258
31,3930,12.596437659033079,0.3926208651399491,1.1272264631043256,0.7346055979643766,23.416284987277354
32,3725,12.09718120805369,0.3868456375838926,1.135302013422819,0.7484563758389262,23.437046979865773
33,3579,11.255937412685107,0.4020676166526963,1.1844090528080469,0.7823414361553507,23.426376082704667
34,3385,10.746528803545052,0.4877400295420975,1.2644017725258494,0.7766617429837519,23.485967503692763
35,3227,10.061047412457391,0.496436318562132,1.313603966532383,0.817167647970251,23.387666563371553
36,3121,9.646587632169176,0.4424863825696892,1.3389939122076258,0.8965075296379366,23.408202499198975
37,2853,9.439887837364179,0.500876270592359,1.4346302138100246,0.9337539432176656,23.398177357167892
38,2971,9.210030292830696,0.5011780545270953,1.4601144395826322,0.9589363850555369,23.33389431167957
39,2852,9.641654978962132,0.5248948106591865,1.4572230014025245,0.9323281907433381,23.419004207573632
40,2806,9.508909479686386,0.4091233071988596,1.4611546685673558,1.0520313613684962,23.374554526015682
41,2912,9.752747252747254,0.47046703296703296,1.5233516483516483,1.0528846153846154,23.4114010989011
42,2866,9.998604326587579,0.5526866713189114,1.6256106071179344,1.072923935799023,23.350314026517793
43,2842,10.276565798733287,0.5197044334975369,1.5781140042223787,1.0584095707248418,23.39338494018297
44,2868,10.431311018131101,0.5170850767085077,1.620641562064156,1.1035564853556485,23.41317991631799
45,2954,10.718348002708192,0.3930264048747461,1.612389979688558,1.2193635748138119,23.334123222748815
