SEASON,treated_mean,control_mean,gap,relative_to_base
2015,0.8990726941546614,0.9038083252898701,-0.0047356311352086955,0.014096354794398636
2016,0.9104020421186981,0.9292340280483055,-0.01883198592960733,0.0
2018,0.889810001792436,0.9143180688922014,-0.024508067099765385,-0.005676081170158054
2019,0.8915119648030905,0.9217790176775128,-0.03026705287442233,-0.011435066944814998
2020,0.9210996266031711,0.9418747169006955,-0.020775090297524335,-0.0019431043679170035
2021,0.9146906636670417,0.9371809600511648,-0.022490296384123143,-0.003658310454515812
2022,0.9185365414075877,0.9672788505802825,-0.04874230917269484,-0.02991032324308751
2023,0.9456719061323887,0.9661362560535994,-0.02046434992121071,-0.0016323639916033805
2024,0.9318532348404903,0.9604787086000557,-0.028625473759565367,-0.009793487829958036
