SEASON,treated_mean,control_mean,gap,relative_to_base
2015,6.3638791863570985,11.324536969163857,-4.960657782806758,-0.37914937299315543
2016,6.238508055990189,11.223587133847914,-4.985079077857725,-0.40357066804412245
2017,5.777237863846411,10.358746273660014,-4.581508409813603,0.0
2018,5.178453727620914,10.14212235745576,-4.963668629834846,-0.38216022002124284
2019,5.069206552478523,10.264235496162723,-5.1950289436842,-0.6135205338705969
2020,5.143658023826209,10.308949157060038,-5.165291133233829,-0.5837827234202262
2021,5.096577946768061,10.341772601798429,-5.245194655030367,-0.6636862452167644
2022,5.0033114064527675,10.153022151131792,-5.149710744679024,-0.568202334865421
2023,5.0035668677616805,10.196365710956277,-5.192798843194597,-0.6112904333809936
2024,5.0207541063192815,10.317967889852758,-5.2972137835334765,-0.7157053737198735
