top_n,outcome,n,r2,per_sd,estimate,std_error,t
3,PTS_PER_FGA,215,0.5359741673483045,0.003333194220333389,0.05996007108984554,0.035629344330689545,1.682884493560511
3,PTS_VS_XPTS,215,0.15843498772325204,0.0006965687361402829,0.01253041622451803,0.034691186227284516,0.36119884002879366
3,ORTG_FG,215,0.6412006861551123,0.4726869109084558,8.503057100127718,3.3687822579844235,2.5240744129349526
4,PTS_PER_FGA,262,0.49579290524422615,0.001334950038634194,0.028663687527564655,0.04209703908784217,0.6808955724357078
4,PTS_VS_XPTS,262,0.16540112950749697,-0.00036138116735175585,-0.007759479051302341,0.039412083971144304,-0.19688070940332592
4,ORTG_FG,262,0.5962045711371626,0.29811219058088173,6.400984629889745,3.932535625797866,1.6276990824694841
8,PTS_PER_FGA,270,0.5037580475268917,-0.0009841654564643801,-0.0298295065895274,0.05863750424676032,-0.5087103718466234
8,PTS_VS_XPTS,270,0.17310797450080107,-0.0010866398228000641,-0.03293544753247551,0.055699334927785844,-0.5913077341978373
8,ORTG_FG,270,0.5807311967137747,0.17656305914852685,5.351527938461757,5.622639625545685,0.9517821334570031
