gained_between,net_if_finished_by_6s,net_if_finished_11_to_16s,observational_gap,median_clock_used
28-32,0.5779044059890242,0.38528162584129116,0.19262278014773299,14.0
32-36,0.6421294922637893,0.31387985284752734,0.328249639416262,9.0
36-40,0.6636683051782946,0.2499856913328032,0.4136826138454913,9.0
