CLOCK_BAND,N_ATTEMPTS,RETAIN_RATE,MISS_RATE,N_MISSES,ORB_RATE
8-15,969793,0.13944109722384054,0.5298976173265841,513891,0.26314724328700057
16-23,513776,0.14007271651459002,0.4799075861854193,246565,0.2918743536187212
4-7,312679,0.14948877283092243,0.5568394423674119,174112,0.2684593824664584
24-24,14838,0.190389540369322,0.4499258660196792,6676,0.4231575793888556
0-3,187789,0.23232990217744384,0.6169743701707768,115861,0.37656329567326363
