PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,N_SHOTS,EXPOSURE_PER_SHOT,PREMATURE,MEAN_SECOND,SEASON
977,Kobe Bryant,LAL,1026,0.008662278993489784,0.0769980506822612,11.072124756335283,2015
1495,Tim Duncan,SAS,397,0.07401169088904141,0.4332493702770781,10.005037783375315,2015
1713,Vince Carter,MEM,309,0.010646809577808091,0.11650485436893204,10.62135922330097,2015
1717,Dirk Nowitzki,DAL,1008,0.01926163589333476,0.29365079365079366,10.551587301587302,2015
1718,Paul Pierce,LAC,360,0.017863406046337425,0.13055555555555556,10.452777777777778,2015
1891,Jason Terry,HOU,339,0.009479699722455574,0.07669616519174041,11.882005899705014,2015
1897,Metta World Peace,LAL,163,0.01918151598892876,0.09815950920245399,10.159509202453988,2015
1938,Manu Ginobili,SAS,394,0.028648711905649528,0.14213197969543148,11.096446700507615,2015
2037,Jamal Crawford,LAC,837,0.040484003101898154,0.2855436081242533,11.068100358422939,2015
2199,Tyson Chandler,PHX,293,0.01478918569315842,0.08191126279863481,12.143344709897612,2015
2200,Pau Gasol,CHI,908,0.035409405722958955,0.4041850220264317,10.894273127753303,2015
2207,Joe Johnson,BKN,558,0.02633844058614882,0.2078853046594982,10.372759856630825,2015
2207,Joe Johnson,MIA,220,0.04342692832762755,0.2909090909090909,9.881818181818181,2015
2210,Richard Jefferson,CLE,285,0.019769300549663055,0.14736842105263157,10.866666666666667,2015
2216,Zach Randolph,MEM,819,0.038381544064132626,0.3308913308913309,10.043956043956044,2015
2225,Tony Parker,SAS,658,0.043434280532247245,0.28419452887537994,10.913373860182372,2015
2399,Mike Dunleavy,CHI,184,0.01299688352326782,0.125,12.684782608695652,2015
2403,Nene,WAS,362,0.03334191374816536,0.30662983425414364,10.861878453038674,2015
2405,Amar'e Stoudemire,MIA,198,0.032597336484379326,0.30303030303030304,12.0,2015
2419,Tayshaun Prince,MIN,207,0.023268500302566008,0.2560386473429952,10.028985507246377,2015
2440,Matt Barnes,MEM,620,0.0109805680599431,0.07580645161290323,11.720967741935484,2015
2449,Luis Scola,TOR,547,0.02762539344223342,0.2449725776965265,11.3363802559415,2015
2544,LeBron James,CLE,1262,0.029839914225335915,0.21394611727416799,11.532488114104597,2015
2546,Carmelo Anthony,NYK,1178,0.02705313649686815,0.2911714770797963,11.0169779286927,2015
2547,Chris Bosh,MIA,707,0.026438523217543634,0.2942008486562942,9.797736916548798,2015
2548,Dwyane Wade,MIA,1063,0.032050468215196075,0.2530573847601129,10.904985888993416,2015
2561,David West,SAS,399,0.07920053602963219,0.5614035087719298,10.977443609022556,2015
2564,Boris Diaw,SAS,349,0.033701090875591845,0.25787965616045844,10.223495702005732,2015
2571,Leandro Barbosa,GSW,332,0.045585942318396834,0.25,12.882530120481928,2015
2581,Steve Blake,DET,199,0.03161042495674851,0.20100502512562815,10.321608040201005,2015
2585,Zaza Pachulia,DAL,434,0.04119373011227212,0.347926267281106,11.495391705069125,2015
2590,Mo Williams,CLE,276,0.04417894865767578,0.358695652173913,11.355072463768115,2015
2594,Kyle Korver,ATL,585,0.005248690637446737,0.08376068376068375,13.235897435897435,2015
2730,Dwight Howard,HOU,547,0.031342355058824926,0.12797074954296161,11.888482632541134,2015
2733,Shaun Livingston,GSW,357,0.06086414772372988,0.4341736694677871,11.630252100840336,2015
2734,Devin Harris,DAL,332,0.01444110379980627,0.11746987951807229,12.063253012048193,2015
2736,Luol Deng,MIA,683,0.024026122609629223,0.20644216691068815,10.920937042459736,2015
2738,Andre Iguodala,GSW,327,0.035808661347887724,0.19877675840978593,11.5565749235474,2015
2744,Al Jefferson,CHA,462,0.06608800550726415,0.43506493506493504,9.597402597402597,2015
2746,Josh Smith,HOU,157,0.02601455807145018,0.14012738853503184,10.67515923566879,2015
2746,Josh Smith,LAC,166,0.058956784138157206,0.35542168674698793,11.614457831325302,2015
2747,JR Smith,CLE,743,0.017157854593950618,0.12920592193808883,11.08479138627187,2015
2749,Jameer Nelson,DEN,271,0.016218589215540036,0.12546125461254612,11.169741697416974,2015
2754,Tony Allen,MEM,423,0.025474426306450006,0.1607565011820331,12.962174940898345,2015
2755,Kevin Martin,MIN,302,0.02501271801629882,0.2251655629139073,12.019867549668874,2015
2756,Sasha Vujacic,NYK,257,0.01353358711535972,0.19455252918287938,11.513618677042802,2015
2772,Trevor Ariza,HOU,769,0.006752201294217937,0.0611183355006502,12.918075422626789,2015
101106,Andrew Bogut,GSW,255,0.028789743276660663,0.1803921568627451,11.615686274509804,2015
101107,Marvin Williams,CHA,698,0.017480316151079034,0.14183381088825214,10.997134670487107,2015
101108,Chris Paul,LAC,986,0.036420639567908655,0.28498985801217036,11.487829614604463,2015
101109,Raymond Felton,DAL,608,0.01788271633310231,0.15789473684210525,10.296052631578947,2015
101111,Charlie Villanueva,DAL,305,0.021310374484237456,0.12131147540983607,11.701639344262295,2015
101112,Channing Frye,CLE,150,0.012440778968281134,0.13333333333333333,10.78,2015
101112,Channing Frye,ORL,165,0.011801096668262403,0.10909090909090909,10.957575757575757,2015
101114,Deron Williams,DAL,707,0.02401815095197941,0.17256011315417255,11.376237623762377,2015
101123,Gerald Green,MIA,532,0.023248813605967946,0.23308270676691728,11.723684210526315,2015
101127,Jarrett Jack,BKN,335,0.0187710002103522,0.2417910447761194,11.585074626865671,2015
101133,Ian Mahinmi,IND,422,0.01875771990956879,0.14691943127962084,11.33175355450237,2015
101135,David Lee,BOS,180,0.029766829101726948,0.18333333333333332,11.25,2015
101138,Brandon Bass,LAL,284,0.019369734551727778,0.17253521126760563,11.630281690140846,2015
101139,CJ Miles,IND,596,0.01294528789978494,0.1040268456375839,12.062080536912752,2015
101141,Ersan Ilyasova,DET,474,0.04070806627320954,0.25949367088607594,12.552742616033756,2015
101145,Monta Ellis,IND,918,0.012283163827544864,0.17320261437908496,11.518518518518519,2015
101150,Lou Williams,LAL,648,0.010847851983399874,0.07561728395061729,11.983024691358025,2015
101161,Amir Johnson,BOS,391,0.02196268383893013,0.10230179028132992,12.337595907928389,2015
