model,n_lineups,r2,usage_sum,usage_sum_t,overlap,overlap_t
usage only (incumbent),4233,0.27553623594067933,0.013537618287098763,9.266120310551093,,
creation overlap only,4233,0.26035197983034175,,,0.007582347981915816,2.885205182912422
both,4233,0.2756043059515123,0.013257252237792283,8.365374599478583,0.00132128349864008,0.49469400813828857
