outcome,estimate,std_error,t,p_wild
first stage: P(chance lasts past 14s),-0.022707481467207344,0.0015874516873909507,-14.304360660278189,0.0078125
reduced form: chance duration (seconds),-0.20742028542860574,0.039677952847436235,-5.227595441381449,0.06640625
RESULT: points per chance,-0.01543818125729802,0.006479776913786116,-2.3825174018649253,0.119140625
