TEAM_ABBREVIATION,N_SHOTS,MEAN_SECOND,EARLY_SHARE,LATE_SHARE
DAL,44828,11.12532345855269,0.13440260551441063,0.26764522173641475
UTA,43595,11.177956187636196,0.1493749283174676,0.27347172840922124
CLE,43284,11.239950097033546,0.16211533130024952,0.27964143794473706
MIA,43725,11.241189251000572,0.15602058319039452,0.27124070897655805
NYK,44457,11.359246013001327,0.15626335560204244,0.26031895989382997
SAS,45242,11.374231908403695,0.14707572609522127,0.2528623845099686
MEM,45210,11.410440168104401,0.16828135368281355,0.2639239106392391
DET,44039,11.421376507186812,0.1654896796021708,0.2606326210858557
POR,45972,11.422692073436005,0.14832941790655182,0.25302357957017313
DEN,45202,11.56743064466174,0.17023583027299677,0.251272067607628
CHA,44532,11.581155124404923,0.1631411120093416,0.24052366837330458
ORL,45546,11.608439819084003,0.16381240943222236,0.2426996882272867
TOR,44711,11.650689986804142,0.18932701125002796,0.25825859408199325
LAC,44333,11.672636636365686,0.16698621794148827,0.24264092211219634
MIN,44987,11.705225954164536,0.16691488652277325,0.2330673305621624
CHI,44825,11.715761293920803,0.1686112660345789,0.23817066369213608
BOS,45669,11.742013181808229,0.1746261139941755,0.2325866561562548
PHI,44575,11.754010095344924,0.17675827257431295,0.24042624789680314
IND,45379,11.76431829700963,0.1682496308865334,0.2286520196566694
SAC,45211,11.91696710977417,0.1821459379354582,0.229103536749906
BKN,45565,11.937912871721716,0.17805333040711072,0.22484362997915067
LAL,45220,11.97109685979655,0.19584254754533392,0.2360017691287041
PHX,45596,11.97392315115361,0.19519256075094307,0.2284849548205983
HOU,44770,11.983940138485593,0.17875809693991512,0.22021442930533838
ATL,44954,12.022890065400187,0.17733683320727855,0.21246162744138453
WAS,45802,12.090323566656478,0.19520981616523295,0.22086371774158334
MIL,45151,12.137006932293858,0.19135788797590308,0.21673938561715134
NOP,46076,12.176816563937841,0.17742425557774114,0.20255664554214775
OKC,45715,12.187640818112216,0.19230012031062016,0.21150607021765286
GSW,44865,12.188565697091274,0.1863144990527137,0.2038337233923994
