ERA,S,size_def_rebound,size_off_rebound,mean_def_rebound,mean_off_rebound,advantage
post-2018,23,586,904,0.9300341296928327,1.079646017699115,0.14961188800628222
post-2018,24,566982,18324,0.9906363870457968,1.0840973586553155,0.09346097160951872
pre-2018,24,246187,80086,0.9400943185464707,0.9997003221536848,0.05960600360721402
