S,N,VALUE,FLOOR_BOUND
14,140776,1.0886798886173779,True
15,8432,1.0881166982922201,False
16,7849,1.097592049942668,False
17,6614,1.1090111883882674,False
18,5202,1.0988081507112648,False
19,3892,1.0629496402877698,False
20,2852,1.0462833099579243,False
21,1971,1.0512430238457635,False
22,1245,1.0433734939759036,False
24,18324,1.0840973586553155,False
