check,games_per_block,omitted_season,n,teams,estimate,std_error,t,p,effect_per_1pp,r2
block_length,15,,952,30,-0.01863536261262383,0.0926367170587315,-0.20116605169426552,0.8419730643373027,-0.0001863536261262383,0.4238483382005471
block_length,20,,712,30,-0.07429494217207609,0.0829928876064626,-0.8951964959258846,0.37805250126272416,-0.000742949421720761,0.46604132267230536
block_length,25,,480,30,-0.2030585097967159,0.1063215320895981,-1.909853120114905,0.06608812636374192,-0.0020305850979671592,0.4750843027911873
leave_one_season_out,20,2017.0,622,30,-0.28572486512761974,0.13952647105822527,-2.047818331249738,0.04972930530554278,-0.0028572486512761976,0.4441838273070481
leave_one_season_out,20,2018.0,622,30,-0.04782749961470219,0.08849282748222012,-0.54046752686608,0.5930017423119702,-0.0004782749961470219,0.4691656429223908
leave_one_season_out,20,2019.0,630,30,-0.025825700921302507,0.08118290462139043,-0.31811747857193373,0.7526754125987046,-0.00025825700921302505,0.4803999870735036
leave_one_season_out,20,2020.0,622,30,-0.03965048042622834,0.07958748755549636,-0.4981999261954344,0.6221005599822627,-0.0003965048042622834,0.4790290265771008
leave_one_season_out,20,2021.0,622,30,-0.08786942160826378,0.08233906733631863,-1.067165617134769,0.2947008492933546,-0.0008786942160826377,0.4822302037940074
leave_one_season_out,20,2022.0,622,30,-0.0760335237130802,0.10042397068521729,-0.7571252480287812,0.4550827991319736,-0.000760335237130802,0.46841208994267514
leave_one_season_out,20,2023.0,622,30,-0.07112126714456057,0.082795209496556,-0.8590022004536262,0.3973843233818645,-0.0007112126714456057,0.45786598038939397
leave_one_season_out,20,2024.0,622,30,-0.08350763210965832,0.08412199731681207,-0.9926967353754098,0.3290689587862244,-0.0008350763210965833,0.46055154805180587
