GROUP,SECOND,N,PREDICTED,REALISED,SE,ERROR
half_court,1,9941,0.5950491011200703,0.6006437984106227,0.010466387609993673,0.005594697290552397
half_court,2,21600,0.6357323603836874,0.6440277777777778,0.007262333532624389,0.008295417394090343
half_court,3,35239,0.6775487403961502,0.677402877493686,0.005781098656947907,-0.00014586290246421107
half_court,4,50520,0.7196796996226126,0.7242676167854315,0.004925531391857845,0.004587917162818922
half_court,5,66881,0.7544741469772256,0.762937157040116,0.004345423582987508,0.008463010062890408
half_court,6,84990,0.7811643065857496,0.7949405812448523,0.0038992388935554503,0.013776274659102694
half_court,7,105114,0.8021539231741264,0.8204711075594117,0.003539710673974964,0.01831718438528529
half_court,8,127010,0.8205030922517643,0.8433194236674277,0.003241500964300208,0.022816331415663416
half_court,9,150306,0.8377647308128592,0.8640440168722473,0.0029992404044933865,0.02627928605938812
half_court,10,174952,0.8526437701660746,0.883082216836618,0.0027949811328972806,0.030438446670543406
half_court,11,200134,0.8659664923910573,0.9007814764108047,0.0026255122924594525,0.034814984019747475
half_court,12,225646,0.8784120617702937,0.917481364615371,0.0024838158341080985,0.03906930284507726
half_court,13,250897,0.8898245852053653,0.9306926746832366,0.0023624918405374244,0.04086808947787124
half_court,14,275023,0.8987575271835562,0.9416048839551601,0.0022626038377270537,0.042847356771603895
half_court,15,287390,0.9051691875635981,0.9490518111277358,0.002217205945082229,0.043882623564137746
half_court,16,307375,0.9113697240687728,0.9551525010166735,0.0021468352010753813,0.04378277694790067
half_court,17,325147,0.9168225680288661,0.9610022543649488,0.0020904771913743225,0.04417968633608271
half_court,18,341177,0.9238073195924893,0.9681543597604763,0.0020441121759288946,0.04434704016798696
half_court,19,354567,0.9333127683727358,0.9769352477810964,0.0020090074339829496,0.043622479408360615
half_court,20,366173,0.9409743591378854,0.9871563441324183,0.00198172506238799,0.046181984994532854
half_court,21,375827,0.9465794426553736,0.9953542454373954,0.0019590551019441882,0.04877480278202173
half_court,22,383186,0.9484829996880677,0.9994754505644778,0.0019408129937062482,0.050992450876410134
half_court,23,388329,0.9475824525519417,0.9992532105508474,0.0019268750685555145,0.051670757998905636
half_court,24,391461,0.9452341017852128,0.9968783608073346,0.0019177306063045802,0.051644259022121775
live_ball,1,1033,0.5813882063882064,0.5624394966118103,0.03141693504814292,-0.018948709776396178
live_ball,2,1976,0.637139009426904,0.6406882591093117,0.023833889483303485,0.0035492496824076625
live_ball,3,3155,0.6804152902312411,0.6776545166402536,0.019233693217245718,-0.0027607735909875863
live_ball,4,4532,0.7264163372859025,0.7032215357458076,0.01619813745157488,-0.0231948015400949
live_ball,5,6095,0.7615050509979991,0.7519278096800657,0.01423920651049321,-0.009577241317933471
live_ball,6,7834,0.7813367339284375,0.7702323206535614,0.012646677167858746,-0.011104413274876102
live_ball,7,9890,0.7971477160843751,0.79737108190091,0.011362067962800582,0.00022336581653492615
live_ball,8,12201,0.8112773023684274,0.8216539627899353,0.01030788554052526,0.010376660421507866
live_ball,9,14635,0.8234518314249745,0.8454390160573967,0.009481715389555124,0.02198718463242222
live_ball,10,17356,0.8385295252150872,0.8647153722055774,0.008764160230532099,0.026185846990490202
live_ball,11,20174,0.8532384606574276,0.8775651829086943,0.008155668302897965,0.024326722251266752
live_ball,12,23108,0.8689664592879583,0.8931971611563095,0.007656599492826215,0.02423070186835119
live_ball,13,26119,0.881993484772295,0.9063516979976263,0.0072309747891681955,0.02435821322533127
live_ball,14,29098,0.894191743846026,0.9225376314523335,0.006883693690512577,0.028345887606307518
live_ball,15,32222,0.9024961343052794,0.9329960896282044,0.006569813633954374,0.030499955322924932
live_ball,16,35265,0.9053443233182664,0.9374734155678435,0.006289092841540253,0.03212909224957705
live_ball,17,38374,0.9106224993158942,0.9381351957054256,0.006033646719706147,0.027512696389531355
live_ball,18,41381,0.9209921753382572,0.951789468596699,0.005834008974289028,0.030797293258441827
live_ball,19,44624,0.9562974203338391,0.9774560774471137,0.0056353786227842755,0.02115865711327458
live_ball,20,48900,0.9994077274152527,1.0273415132924335,0.005402794553057931,0.02793378587718076
live_ball,21,53783,1.0332925218804634,1.0741870107654836,0.00512948957215317,0.04089448888502023
live_ball,22,57551,1.0409474045924967,1.0889993223401853,0.004931740737932186,0.04805191774768858
live_ball,23,59313,1.0366978780205327,1.086018242206599,0.004842422449441934,0.04932036418606622
live_ball,24,60059,1.031975344312819,1.0825188564578165,0.0048074800562902765,0.05054351214499753
second_chance,1,661,0.4996857322438718,0.4856278366111952,0.03773225618675172,-0.01405789563267662
second_chance,2,1426,0.5543082524271845,0.5925666199158486,0.02731635078459523,0.03825836748866407
second_chance,3,2438,0.6220270764727406,0.660377358490566,0.02176599743807032,0.03835028201782542
second_chance,4,3598,0.6891875529725149,0.6873262923846581,0.01800436109789932,-0.001861260587856739
second_chance,5,4882,0.7383798140770252,0.7331011880376894,0.015760839536913145,-0.005278626039335821
second_chance,6,6394,0.7695112071293546,0.7544573037222396,0.013900601305482792,-0.015053903407114988
second_chance,7,8181,0.7886510543604959,0.7818115144847818,0.012460003858953893,-0.006839539875714062
second_chance,8,10501,0.7997294212150678,0.8018283972954957,0.011071942731186835,0.002098976080427861
second_chance,9,13123,0.807920059215396,0.8102568010363485,0.009953299443076706,0.002336741820952448
second_chance,10,16494,0.8162788803518584,0.8246635140050927,0.008934831362505582,0.008384633653234386
second_chance,11,20193,0.8349536261034752,0.8507898776803843,0.008148572770306853,0.015836251576909044
second_chance,12,24373,0.8763357079252003,0.8984121774094285,0.007530790315161992,0.022076469484228145
