SEASON,TEAM,BLOCK,PREMATURE,N_SHOTS,MEAN_SHOT_VALUE,MEAN_SECOND,PPP,N_POSS,NEXT_BLOCK,NEXT_PPP,NEXT_N_POSS
2017,ATL,0,0.13146139119336311,1567,1.1433233458800198,12.821314613911934,1.073344280240832,1827,1,1.1095661846496108,1798
2017,ATL,1,0.07124352331606218,1544,1.214328258467407,12.452720207253886,1.1095661846496108,1798,2,1.0963788300835655,1795
2017,ATL,2,0.09954456733897202,1537,1.1663011784724309,12.474951203643462,1.0963788300835655,1795,3,1.04723991507431,1884
2017,BKN,0,0.09417596034696406,1614,1.186340451400621,13.04275092936803,1.0824742268041236,1940,1,1.0965940815187047,1791
2017,BKN,1,0.09055627425614489,1546,1.1863233902013763,12.34411384217335,1.0965940815187047,1791,2,1.0971682398667406,1801
2017,BKN,2,0.06793650793650793,1575,1.2078600702923958,12.211428571428572,1.0971682398667406,1801,3,1.1438692098092642,1835
2017,BOS,0,0.12172774869109948,1528,1.1787170733935652,12.2467277486911,1.078125,1792,1,1.1287185354691076,1748
2017,BOS,1,0.11512717536813923,1494,1.2027853439063096,12.075635876840696,1.1287185354691076,1748,2,1.105641592920354,1808
2017,BOS,2,0.11606597434331094,1637,1.170449347207907,12.364691508857666,1.105641592920354,1808,3,1.113322277501382,1809
2017,CHA,0,0.14993481095176012,1534,1.1466067533188984,12.5,1.1047205642973412,1843,1,1.0715059588299025,1846
2017,CHA,1,0.18502202643171806,1589,1.1310681267467024,12.506607929515418,1.0715059588299025,1846,2,1.1413583655438984,1811
2017,CHA,2,0.12484076433121019,1570,1.1529376909814206,12.278343949044586,1.1413583655438984,1811,3,1.1507072905331883,1838
2017,CHI,0,0.1901496259351621,1604,1.1066574441596218,12.44576059850374,1.0182119205298013,1812,1,1.1233624454148472,1832
2017,CHI,1,0.1892059553349876,1612,1.1294335692342576,12.956575682382134,1.1233624454148472,1832,2,1.0889717634523175,1877
2017,CHI,2,0.1444981862152358,1654,1.1530970019969675,12.955864570737607,1.0889717634523175,1877,3,1.094214876033058,1815
2017,CLE,0,0.22142857142857142,1540,1.2041015930286514,12.451948051948053,1.1378555798687089,1828,1,1.1580148317170564,1753
2017,CLE,1,0.1769436997319035,1492,1.2249987233489852,12.175603217158177,1.1580148317170564,1753,2,1.1180257510729614,1864
2017,CLE,2,0.1534090909090909,1584,1.2508249074982138,12.825757575757576,1.1180257510729614,1864,3,1.1996662958843158,1798
2017,DAL,0,0.07493540051679587,1548,1.1890156546898887,11.88953488372093,1.0522803114571746,1798,1,1.1647465437788018,1736
2017,DAL,1,0.04862023653088042,1522,1.2272470785895828,11.457293035479632,1.1647465437788018,1736,2,1.0915771622385528,1769
2017,DAL,2,0.07421383647798742,1590,1.1958651681986132,12.272327044025158,1.0915771622385528,1769,3,1.0904605263157894,1824
2017,DEN,0,0.23346303501945526,1542,1.1338519152356499,12.913748378728924,1.0917582417582417,1820,1,1.1499720201454953,1787
2017,DEN,1,0.16015625,1536,1.1940345503584997,12.216796875,1.1499720201454953,1787,2,1.1619365609348915,1797
2017,DEN,2,0.1120253164556962,1580,1.2219626208879801,12.710759493670887,1.1619365609348915,1797,3,1.1850267379679145,1870
2017,DET,0,0.16612164813603664,1529,1.16927915370687,12.590582079790712,1.12400906002265,1766,1,1.0687066974595842,1732
2017,DET,1,0.1437951411687459,1523,1.1642954581523133,12.360472751149048,1.0687066974595842,1732,2,1.0976948408342482,1822
2017,DET,2,0.16296766011414077,1577,1.151750770122003,12.750158528852252,1.0976948408342482,1822,3,1.1158301158301158,1813
2017,GSW,0,0.21136653895274585,1566,1.2406825791649847,13.54469987228608,1.1797990481226863,1891,1,1.1831521739130435,1840
2017,GSW,1,0.20166453265044815,1562,1.235066461847038,12.900128040973112,1.1831521739130435,1840,2,1.2094411285946827,1843
2017,GSW,2,0.21710952689565782,1543,1.229365756603802,13.349967595593,1.2094411285946827,1843,3,1.1255530973451326,1808
2017,HOU,0,0.07647440051847051,1543,1.275706034732834,13.298120544394038,1.1802739726027398,1825,1,1.1912242686890575,1846
2017,HOU,1,0.07569974554707379,1572,1.266325408558956,12.744274809160306,1.1912242686890575,1846,2,1.2178612059158134,1758
2017,HOU,2,0.06490066225165562,1510,1.2589506833868422,12.390728476821192,1.2178612059158134,1758,3,1.158160403813797,1783
2017,IND,0,0.1267605633802817,1562,1.1644280055710805,12.500640204865556,1.1169686985172982,1821,1,1.143502824858757,1770
2017,IND,1,0.08943616331821128,1543,1.2066163670072252,12.215813350615683,1.143502824858757,1770,2,1.1312217194570136,1768
2017,IND,2,0.10646387832699619,1578,1.1873288156395383,12.4404309252218,1.1312217194570136,1768,3,1.088201603665521,1746
