TEAM_ABBREVIATION,SHOT_FAMILY,CLOCK_PHASE,POSSESSION_CONTEXT,N_SHOTS,PREMATURE,EXPOSURE_PER_SHOT,TOTAL_EXPOSURE,MEAN_SHOT_VALUE,LEAGUE_N,LEAGUE_EXPOSURE,TEAM_SHOTS,TEAM_EXPOSURE,SHOT_SHARE,EXPOSURE_SHARE,EXPECTED_TOTAL_EXPOSURE
ATL,mid-range,late (0–7),after a score,930,0.010752688172043012,0.0011708597423954598,1.0888995604277776,0.9531842848087182,37774,0.0013628006063988987,44445,279.5663750155888,0.020924738440769492,0.003894958971253463,1.267404563950976
ATL,mid-range,late (0–7),other dead ball,230,0.008695652173913044,0.0011654442314136208,0.26805217322513275,0.9359692175638914,7164,0.0014651568720382769,44445,279.5663750155888,0.005174935313308583,0.0009588140677153538,0.3369860805688037
ATL,mid-range,late (0–7),rebound push,341,0.002932551319648094,5.042074989329965e-05,0.01719347571361518,0.9323994893752615,13361,0.001897253901621738,44445,279.5663750155888,0.007672404094948813,6.150051383202455e-05,0.6469635804530126
ATL,mid-range,late (0–7),second chance,65,0.046153846153846156,0.0027257688727659332,0.17717497672978566,0.9176413354588393,2573,0.0020484346194213784,44445,279.5663750155888,0.0014624817189785129,0.0006337492365450111,0.1331482502623896
ATL,mid-range,late (0–7),turnover attack,151,0.013245033112582781,0.0011487913535324968,0.17346749438340703,0.929494413506099,5618,0.001703101156536643,44445,279.5663750155888,0.003397457531780853,0.0006204876905305023,0.2571682746370331
ATL,mid-range,middle (8–15),after a score,1719,0.09714950552646888,0.004765749134705508,8.192322762558767,0.962242319103343,59116,0.009230823245253882,44445,279.5663750155888,0.03867701653729328,0.029303677032339666,15.867785158591424
ATL,mid-range,middle (8–15),other dead ball,314,0.15605095541401273,0.008860794867918777,2.782289588526496,0.9393562412372042,11785,0.017592352363402647,44445,279.5663750155888,0.007064911688603893,0.009952161050739216,5.523998642108431
ATL,mid-range,middle (8–15),rebound push,1045,0.15023923444976076,0.006898434855181463,7.208864423664629,0.9504000632755372,34308,0.01320737556514952,44445,279.5663750155888,0.02351220609742378,0.02578587794495192,13.801707465581249
ATL,mid-range,middle (8–15),second chance,176,0.1590909090909091,0.005635306160788834,0.9918138842988349,0.9373851567029731,6250,0.01419988631121416,44445,279.5663750155888,0.003959950500618742,0.0035476866066011365,2.4991799907736922
ATL,mid-range,middle (8–15),turnover attack,428,0.1378504672897196,0.008030322485972604,3.436978023996274,0.96098656564278,12275,0.012774855296131201,44445,279.5663750155888,0.009629879626504668,0.012293960687527698,5.467638066744154
ATL,mid-range,early (16–23),after a score,193,0.21243523316062177,0.013844561988661498,2.6720004638116692,0.993423698058676,6626,0.020990360954200912,44445,279.5663750155888,0.0043424457194285076,0.009557660371933775,4.051139664160776
