removed,log_loss,brier,auc,logloss_cost,auc_cost,share_of_gain
full_model,0.6272955117160106,0.22017278221902942,0.6759042684690458,0.0,0.0,0.0
geometry (location + action type),0.64248688864,0.22633719823371576,0.6631402380170959,0.01519137692398942,0.01276403045194996,0.521629300968632
possession (shot clock + chance start),0.6312585746950972,0.2218304871441699,0.6693676226741827,0.003963062979086551,0.006536645794863127,0.13608047393064748
game state,0.6354191665036305,0.22351284169928032,0.6625291399305616,0.008123654787619894,0.013375128538484216,0.2789435341759543
shooter prior,0.6291403533630167,0.22100326585962862,0.6707402299614681,0.0018448416470060458,0.0051640385075777395,0.06334669092476622
action type alone,0.6362169670125389,0.22372616922198357,0.6690434888558634,0.008921455296528324,0.006860779613182433,0.3063377673555123
location alone,0.6325351273818554,0.2224042816891714,0.6706481519811918,0.0052396156658447435,0.005256116487854068,0.17991371491828773
shot clock alone,0.6286525441081183,0.2207708029136699,0.6730798433205766,0.0013570323921077154,0.002824425148469256,0.0465966884785217
chance start type alone,0.630197430596755,0.22135937510208606,0.6717116203233404,0.002901918880744425,0.004192648145705413,0.0996437600623281
