BAND,n_teams,mean_ratio,observed_sd,null_sd,null_sd_p95,signal_share,value_slope_cv,n_draws
late,30,0.44874507289063037,0.1343002041427568,0.09874794551342905,0.11475245291436814,0.4593667005779362,0.06740693143744342,50
middle,30,0.5253409289823793,0.2128113764132,0.13834656494888056,0.1694402498006432,0.5773828864711535,0.1242671367219105,50
early,30,1.130659126783773,0.4640579291577827,0.40754129470635136,0.4731250393905865,0.228743483874979,0.15686309348302724,50
