specification,controls,n,teams,estimate,std_error,t,p,effect_per_1pp,r2
team_and_season_fe,,712,30,-0.2977308900535228,0.1308036191977594,-2.2761670654035147,0.030401324714667572,-0.002977308900535228,0.3443578492893604
plus_current_efficiency,PPP,712,30,-0.0979981366326264,0.08272020672508963,-1.1846940489197648,0.2457569293897294,-0.000979981366326264,0.46506784460419015
plus_efficiency_shot_value_and_timing,PPP+MEAN_SHOT_VALUE+MEAN_SECOND,712,30,-0.07429494217207609,0.0829928876064626,-0.8951964959258846,0.37805250126272416,-0.000742949421720761,0.46604132267230536
