seed,base,with_clock,gain
0,0.4853612408268216,0.48511982110341784,0.0002414197234037463
1,0.4854228898354746,0.4851748278976285,0.0002480619378461002
2,0.4854374630624238,0.48522857174222395,0.00020889132019985546
3,0.48540330896656797,0.4851791566231478,0.00022415234342015866
4,0.48545834834418705,0.4852181609916085,0.00024018735257852475
