spec,n,n_teams,treatment,outcome,estimate,std_error,t,p_wild,treatment_sd,effect_per_sd,control_t,n_draws
registered,210,30,HHI_LATE,PPC_LATE,0.5680229323474592,0.14087381236685084,4.032139989711254,0.0,0.014749599413222823,0.008378110709649191,3.0646236255892125,9999
registered,210,30,FUNNEL,PPC_LATE,0.7806625138203906,0.33700308074227525,2.3164847991921063,0.0316031603160316,0.0075069228006561526,0.005860373224615839,4.468145396933138,9999
post hoc placebo,210,30,HHI_LATE,PPC_EARLY,0.490974979783904,0.1006697193952924,4.877087000272928,0.0,0.014749599413222823,0.0072416842737277574,2.834804051130598,9999
post hoc placebo,210,30,FUNNEL,PPC_EARLY,-0.750407973776764,0.38455340197831944,-1.9513752054105373,0.09560956095609562,0.0075069228006561526,-0.005633254728138974,4.599836239682587,9999
