PLAYER_ID,PLAYER_NAME,FGA_LATE,SURPLUS,SE,SHRUNK_SURPLUS
203497,Rudy Gobert,99,0.8031668626768409,0.024172241409270687,0.762225190704342
1629655,Daniel Gafford,68,0.7940346595762887,0.029166214393706914,0.7395037419250027
1628386,Jarrett Allen,92,0.7589151051180835,0.025074980649361384,0.7215704518439849
1629048,Goga Bitadze,81,0.6956994451202118,0.026723418365480835,0.6640665602328213
1630168,Onyeka Okongwu,105,0.6662055344783904,0.02347144733907623,0.644616649224411
1631105,Jalen Duren,85,0.6706761465077585,0.02608705521226459,0.6440998707110336
1631109,Mark Williams,83,0.6548107018308003,0.02639948617153714,0.6301473899130652
1630596,Evan Mobley,161,0.6291279781353811,0.01895490369370489,0.6175973652397089
1628371,Jonathan Isaac,62,0.6441442186853221,0.030544897736657604,0.6148699958270843
1628418,Thomas Bryant,75,0.6387349278946206,0.027771791016559227,0.6145913384984425
1642276,Kel'el Ware,89,0.6282961485028479,0.02549409013253944,0.6089185769131894
1629674,Neemias Queta,60,0.6361880509039621,0.03104980628497221,0.6077424066271604
1630208,Nick Richards,79,0.6261306360652099,0.02705957520694811,0.6050449823494257
1642274,Yves Missi,87,0.6197147302436198,0.025785460623011885,0.6012334429873207
1629028,Deandre Ayton,89,0.6127880052278106,0.02549409013253944,0.5956712989159676
1628449,Chris Boucher,75,0.6159321982230278,0.027771791016559227,0.5956289500640661
1631217,Moussa Diabaté,62,0.6197424163700654,0.030544897736657604,0.5952699793592363
1629021,Moritz Wagner,65,0.6142436747185891,0.02983168893850915,0.5917283489728016
1627826,Ivica Zubac,235,0.5961231970717903,0.015689192406979573,0.5900068250974222
1628976,Wendell Carter Jr.,127,0.5934936512267691,0.02134187931641359,0.5830124842652412
1628384,OG Anunoby,257,0.5873396084824867,0.015002649340619133,0.5822077602280276
203507,Giannis Antetokounmpo,278,0.5864406544292357,0.01442487712004044,0.5817229526013474
1641744,Zach Edey,65,0.5831478207728578,0.02983168893850915,0.5665226138056466
1629651,Nic Claxton,142,0.5740674149463358,0.020183215070047406,0.5664635977637689
1626157,Karl-Anthony Towns,278,0.5672741978405499,0.01442487712004044,0.5635494559790155
1627936,Alex Caruso,66,0.5771087252618009,0.02960482869604367,0.5618181139444499
1630573,Sam Hauser,89,0.5730284671802494,0.02549409013253944,0.5617081323256141
201587,Nicolas Batum,63,0.5746254371614901,0.030301508218542203,0.5592305609305359
1628404,Josh Hart,216,0.5630369251182782,0.016364684794587227,0.5585916795821076
