specification,n_lineups,per_1sd,ci_low,ci_high,t
"season FE, unclustered",3552,0.004775680941978616,0.0019516101504989465,0.0075997517334582855,3.314483006062942
"season FE, clustered",3552,0.004775680941978616,0.000886287634060806,0.008665074249896425,2.4066310360597476
"team-season FE, clustered",3552,0.004647031656333234,-0.000872056532310427,0.010166119844976895,1.6503055822073234
"team-season FE, >=200 chances",1396,0.004594485888494149,-0.0034052672785564054,0.012594239055544703,1.1256837746618469
"team-season FE, >=400 chances",505,-0.00680470603673064,-0.019628172581276464,0.006018760507815184,-1.0400638380941343
"team-season FE, >=800 chances",179,-0.03477583846457044,-0.0660372351189829,-0.0035144418101579825,-2.180345431909466
