SECOND,N_SHOTS,MEAN_XPTS,V_CONT,PREMATURE_SHARE,MEAN_SURPLUS,COST_IF_PREMATURE
1,32868,0.8694942841142322,0.3606104435543688,0.025495923086284532,0.5088838405598635,0.21810365713684196
2,42820,0.9345999862818093,0.41488787520022286,0.027066791219056516,0.5197121110815863,0.21220439898649376
3,55152,0.9577229791677769,0.4647477430780528,0.040415578764142736,0.49297523608972416,0.18254140489695236
4,64055,0.9911614706265975,0.5162343156018635,0.033955194754507846,0.47492715502473404,0.24663923050324343
5,72631,1.007185859755695,0.5600025954387984,0.04857430022992937,0.4471832643168967,0.2104155313081264
6,82929,1.0164301560463405,0.5934490930394412,0.05168276477468678,0.42298106300689914,0.22200295691210617
7,93752,1.026098586410433,0.6209223110179484,0.05040959126205308,0.4051762753924847,0.23212991257690196
8,104069,1.0391839241792038,0.6449414363356294,0.056116614938166026,0.3942424878435743,0.21136145616451213
9,112946,1.041357005000081,0.6662395705558727,0.06649195190622068,0.3751174344442085,0.19472601100596296
10,121400,1.0498757497681874,0.6843703503453513,0.06210873146622735,0.3655053994228361,0.2062811521776041
11,127495,1.0586022040915315,0.7018919256431299,0.07103023647986195,0.3567102784484015,0.18210412568482334
12,135007,1.0697073599480353,0.7193687210779262,0.06635952209885414,0.3503386388701092,0.18926890955374479
13,132131,1.0787499633130597,0.7371551133776206,0.07148965799093324,0.34159484993543915,0.1785085516542735
14,138440,1.115206638755149,0.7506693377651559,0.08174660502744871,0.36453730098999293,0.13905933686756491
15,102218,1.0855764043454401,0.7511735737119488,0.09693987360347493,0.33440283063349135,0.14308574981384115
16,94863,1.0921555671636878,0.7565500605947609,0.09483149383848287,0.33560550656892685,0.15357636765671023
17,89284,1.1013457631192283,0.7610805299708863,0.09072174185744367,0.340265233148342,0.1673261367817617
18,89070,1.14624156662987,0.7677442891241184,0.07826428651622319,0.3784972775057515,0.1802117588387885
19,83411,1.198493427277092,0.7794658742514019,0.08108043303641006,0.41902755302569006,0.1541524096752383
20,71493,1.270352004894615,0.7926500961130271,0.06911166128152406,0.4777019087815882,0.1656131660805325
21,47726,1.312400250941104,0.8041426385674776,0.0864099233122407,0.5082576123736263,0.1433128440012
22,27266,1.2948560465876644,0.8087464067159909,0.09931783173182718,0.4861096398716735,0.128597789558148
23,14879,1.2530100447420103,0.8078300350331418,0.11815310168694133,0.44518000970886845,0.1392871086244418
24,15189,1.0990701475886588,0.8035123167440077,0.20653104220159327,0.29555783084465126,0.36630621474352276
