SHOT_ZONE_BASIC,N_ATTEMPTS,RETAIN_RATE,MISS_RATE,N_MISSES,ORB_RATE
Mid-Range,301994,0.13001582812903567,0.5871838513347947,177326,0.22142269041200952
Restricted Area,617882,0.1403585150562729,0.34974477327386133,216101,0.4013169767840038
Left Corner 3,92742,0.14861659226671842,0.6108774880852257,56654,0.24328379284781304
Above the Break 3,556722,0.1502186010252873,0.6439246158765057,358487,0.23328600479236347
Right Corner 3,85928,0.15104506098128667,0.6099525183874872,52412,0.2476341295886438
In The Paint (Non-RA),343607,0.18628840506741715,0.5707829002319511,196125,0.32637348629700447
