PLAYER_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,AGE,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT,SHOT_CLOCK_RANGE
203500,Steven Adams,1610612745,HOU,31.0,58,28,0.251,0.41,0.72,0.571,0.571,0.251,0.41,0.72,0.571,0.0,0.0,0.0,,24-22
1628392,Isaiah Hartenstein,1610612760,OKC,27.0,57,26,0.086,0.4,0.72,0.561,0.561,0.086,0.4,0.72,0.561,0.0,0.0,0.0,,24-22
1626162,Kelly Oubre Jr.,1610612755,PHI,29.0,60,27,0.058,0.37,0.72,0.512,0.512,0.055,0.37,0.68,0.537,0.003,0.0,0.03,0.0,24-22
1626158,Richaun Holmes,1610612764,WAS,31.0,31,16,0.158,0.48,0.71,0.682,0.682,0.158,0.48,0.71,0.682,0.0,0.0,0.0,,24-22
1631106,Tari Eason,1610612745,HOU,24.0,57,30,0.072,0.53,0.7,0.75,0.75,0.072,0.53,0.7,0.75,0.0,0.0,0.0,,24-22
1642276,Kel'el Ware,1610612748,MIA,21.0,64,30,0.097,0.45,0.7,0.644,0.644,0.097,0.45,0.7,0.644,0.0,0.0,0.0,,24-22
1626172,Kevon Looney,1610612744,GSW,29.0,76,32,0.193,0.3,0.7,0.434,0.434,0.193,0.3,0.7,0.434,0.0,0.0,0.0,,24-22
1628381,John Collins,1610612762,UTA,27.0,40,17,0.051,0.5,0.68,0.741,0.741,0.051,0.5,0.68,0.741,0.0,0.0,0.0,,24-22
1629001,De'Anthony Melton,1610612751,BKN,27.0,6,4,0.074,0.33,0.67,0.5,0.5,0.074,0.33,0.67,0.5,0.0,0.0,0.0,,24-22
1641936,Miles Norris,1610612738,BOS,25.0,3,2,0.222,0.0,0.67,0.0,0.0,0.111,0.0,0.33,0.0,0.111,0.0,0.33,0.0,24-22
1642270,Donovan Clingan,1610612757,POR,21.0,67,30,0.132,0.33,0.66,0.5,0.5,0.132,0.33,0.66,0.5,0.0,0.0,0.0,,24-22
1630191,Isaiah Stewart,1610612765,DET,24.0,72,30,0.149,0.31,0.65,0.468,0.468,0.149,0.31,0.65,0.468,0.0,0.0,0.0,,24-22
203999,Nikola Jokić,1610612743,DEN,30.0,70,31,0.033,0.39,0.64,0.6,0.6,0.032,0.39,0.63,0.614,0.001,0.0,0.01,0.0,24-22
204001,Kristaps Porziņģis,1610612738,BOS,29.0,42,19,0.049,0.31,0.64,0.481,0.481,0.049,0.31,0.64,0.481,0.0,0.0,0.0,,24-22
1641739,Toumani Camara,1610612757,POR,25.0,78,34,0.068,0.33,0.63,0.531,0.531,0.068,0.33,0.63,0.531,0.0,0.0,0.0,,24-22
1628436,Luke Kornet,1610612738,BOS,29.0,73,31,0.161,0.42,0.62,0.689,0.689,0.161,0.42,0.62,0.689,0.0,0.0,0.0,,24-22
1641772,Nae'Qwan Tomlin,1610612739,CLE,24.0,5,2,0.094,0.4,0.6,0.667,0.667,0.094,0.4,0.6,0.667,0.0,0.0,0.0,,24-22
1628386,Jarrett Allen,1610612739,CLE,27.0,82,34,0.077,0.39,0.6,0.653,0.653,0.077,0.39,0.6,0.653,0.0,0.0,0.0,,24-22
1628389,Bam Adebayo,1610612748,MIA,27.0,78,31,0.042,0.38,0.6,0.638,0.638,0.042,0.38,0.6,0.638,0.0,0.0,0.0,,24-22
1641705,Victor Wembanyama,1610612759,SAS,21.0,46,22,0.032,0.43,0.59,0.741,0.741,0.032,0.43,0.59,0.741,0.0,0.0,0.0,,24-22
1626171,Bobby Portis,1610612749,MIL,30.0,49,20,0.049,0.33,0.59,0.552,0.552,0.047,0.33,0.57,0.571,0.002,0.0,0.02,0.0,24-22
1630551,Justin Champagnie,1610612764,WAS,24.0,62,25,0.088,0.45,0.58,0.778,0.778,0.088,0.45,0.58,0.778,0.0,0.0,0.0,,24-22
